%time,field.data
1412088547594643775,0.44
1412088547694572864,0.445
1412088547795814021,0.445
1412088547895716145,0.445
1412088547994605379,0.445
1412088548095782887,0.445
1412088548195038587,0.445
1412088548294815375,0.445
1412088548395524284,0.445
1412088548495520250,0.445
1412088548595078273,0.445
1412088548695081207,0.45
1412088548794720352,0.45
1412088548895031929,0.45
1412088548994646316,0.45
1412088549094717193,0.45
1412088549195238488,0.45
1412088549294841809,0.45
1412088549394662927,0.45
1412088549494673607,0.45
1412088549595568186,0.45
1412088549694491676,0.455
1412088549795616673,0.455
1412088549894516283,0.455
1412088549994417648,0.455
1412088550094567531,0.455
1412088550194880150,0.455
1412088550294442344,0.455
1412088550394499092,0.455
1412088550494409012,0.455
1412088550594441048,0.455
1412088550694298039,0.46
1412088550794971438,0.46
1412088550894879693,0.46
1412088550995713602,0.46
1412088551095013735,0.46
1412088551195389360,0.46
1412088551294969234,0.46
1412088551394991986,0.46
1412088551494403181,0.46
1412088551595593704,0.46
1412088551695611173,0.465
1412088551794908189,0.465
1412088551895259911,0.465
1412088551994436405,0.465
1412088552094325918,0.465
1412088552194342965,0.465
1412088552294411759,0.465
1412088552394885125,0.465
1412088552495122802,0.465
1412088552595148177,0.465
1412088552694991329,0.47
1412088552794436077,0.47
1412088552896131298,0.47
1412088552994977157,0.47
1412088553094236641,0.47
1412088553195146503,0.47
1412088553294595229,0.47
1412088553394644073,0.47
1412088553494483374,0.47
1412088553594663399,0.47
1412088553694793141,0.475
1412088553794828467,0.475
1412088553894932106,0.475
1412088553995064269,0.475
1412088554094762885,0.475
1412088554194291036,0.475
1412088554294832999,0.475
1412088554395325715,0.475
1412088554494395837,0.475
1412088554595692512,0.475
1412088554694542060,0.48
1412088554794552150,0.48
1412088554895458397,0.48
1412088554994551838,0.48
1412088555094858732,0.48
1412088555194866406,0.48
1412088555294502442,0.48
1412088555395213934,0.48
1412088555494906877,0.48
1412088555595008284,0.48
1412088555695208847,0.485
1412088555794880882,0.485
1412088555894949469,0.485
1412088555994808184,0.485
1412088556094290709,0.485
1412088556195306561,0.485
1412088556294455830,0.485
1412088556394570716,0.485
1412088556494532436,0.485
1412088556594789970,0.485
1412088556694783960,0.49
1412088556794503555,0.49
1412088556894934215,0.49
1412088556994803984,0.49
1412088557094362048,0.49
1412088557194378594,0.49
1412088557295264240,0.49
1412088557394469094,0.49
1412088557494467869,0.49
1412088557594416675,0.49
1412088557695472355,0.495
1412088557794843204,0.495
1412088557894265198,0.495
1412088557994357092,0.495
1412088558094366758,0.495
1412088558194745455,0.495
1412088558295005041,0.495
1412088558394774960,0.495
1412088558494515668,0.495
1412088558594575730,0.495
1412088558694475924,0.5
1412088558795260667,0.5
1412088558895020396,0.5
1412088558994740905,0.5
1412088559094454330,0.5
1412088559194417066,0.5
1412088559295268444,0.5
1412088559395433057,0.5
1412088559494578085,0.5
1412088559594859067,0.5
1412088559695080769,0.505
1412088559794211233,0.505
1412088559895302555,0.505
1412088559994494503,0.505
1412088560094879202,0.505
1412088560194247007,0.505
1412088560294668225,0.505
1412088560394474145,0.505
1412088560494907874,0.505
1412088560594900264,0.505
1412088560694669083,0.51
1412088560794621985,0.51
1412088560894485826,0.51
1412088560995645773,0.51
1412088561094952898,0.51
1412088561195082276,0.51
1412088561295368719,0.51
1412088561395477014,0.51
1412088561494425336,0.51
1412088561594532424,0.51
1412088561694701637,0.515
1412088561795662927,0.515
1412088561895569989,0.515
1412088561995741956,0.515
1412088562095937188,0.515
1412088562195036213,0.515
1412088562294487072,0.515
1412088562394774388,0.515
1412088562494911080,0.515
1412088562594968178,0.515
1412088562694952469,0.52
1412088562794824848,0.52
1412088562894519147,0.52
1412088562995633695,0.52
1412088563095723451,0.52
1412088563194920511,0.52
1412088563294915208,0.52
1412088563394588326,0.52
1412088563494911586,0.52
1412088563595464826,0.52
1412088563695023134,0.525
1412088563794938398,0.525
1412088563894668662,0.525
1412088563994816826,0.525
1412088564094614795,0.525
1412088564194678101,0.525
1412088564295002621,0.525
1412088564395005139,0.525
1412088564494968719,0.525
1412088564595118163,0.525
1412088564695026606,0.53
1412088564795434642,0.53
1412088564895080400,0.53
1412088564994519441,0.53
1412088565095461374,0.53
1412088565194963551,0.53
1412088565294952388,0.53
1412088565395333488,0.53
1412088565494534249,0.53
1412088565594652289,0.53
1412088565694688035,0.535
1412088565795085010,0.535
1412088565894744335,0.535
1412088565994703476,0.535
1412088566094882936,0.535
1412088566195075636,0.535
1412088566295432904,0.535
1412088566395336795,0.535
1412088566494937698,0.535
1412088566594847817,0.535
1412088566694643757,0.54
1412088566794915236,0.54
1412088566895800215,0.54
1412088566994842732,0.54
1412088567094904626,0.54
1412088567195719833,0.54
1412088567295900713,0.54
1412088567395051825,0.54
1412088567494446823,0.54
1412088567595353772,0.54
1412088567695941859,0.545
1412088567794888593,0.545
1412088567895757624,0.545
1412088567994343610,0.545
1412088568094392949,0.545
1412088568195518599,0.545
1412088568294963626,0.545
1412088568395568421,0.545
1412088568495749357,0.545
1412088568594961833,0.545
1412088568695183443,0.55
1412088568794875404,0.55
1412088568894908959,0.55
1412088568994609746,0.55
1412088569095383932,0.55
1412088569194793052,0.55
1412088569294760731,0.55
1412088569395707688,0.55
1412088569494691450,0.55
1412088569595598561,0.55
1412088569694962034,0.555
1412088569795685997,0.555
1412088569895139204,0.555
1412088569994906717,0.555
1412088570094408878,0.555
1412088570194991965,0.555
1412088570294792931,0.555
1412088570394670583,0.555
1412088570495720872,0.555
1412088570594596873,0.555
1412088570694311568,0.56
1412088570794340449,0.56
1412088570894629875,0.56
1412088570994853801,0.56
1412088571095517649,0.56
1412088571194870801,0.56
1412088571294495292,0.56
1412088571395590552,0.56
1412088571494513286,0.56
1412088571594588806,0.56
1412088571694756547,0.565
1412088571795974684,0.565
1412088571894415759,0.565
1412088571994526684,0.565
1412088572095517973,0.565
1412088572195292548,0.565
1412088572294733795,0.565
1412088572395690374,0.565
1412088572494332766,0.565
1412088572594434374,0.565
1412088572695469464,0.57
1412088572794849378,0.57
1412088572894692954,0.57
1412088572994614944,0.57
1412088573094957455,0.57
1412088573194423252,0.57
1412088573295242443,0.57
1412088573394550914,0.57
1412088573495645077,0.57
1412088573595750417,0.57
1412088573694594634,0.575
1412088573794586174,0.575
1412088573894668224,0.575
1412088573996049342,0.575
1412088574094221842,0.575
1412088574194594283,0.575
1412088574294563245,0.575
1412088574394682274,0.575
1412088574494547141,0.575
1412088574595298383,0.575
1412088574694751957,0.58
1412088574795383577,0.58
1412088574894433183,0.58
1412088574994667285,0.58
1412088575095089326,0.58
1412088575194800240,0.58
1412088575294274119,0.58
1412088575394533425,0.58
1412088575495417743,0.58
1412088575595937141,0.58
1412088575695101453,0.585
1412088575794491670,0.585
1412088575895181161,0.585
1412088575996061545,0.585
1412088576094366446,0.585
1412088576195962874,0.585
1412088576294939869,0.585
1412088576394999403,0.585
1412088576494968106,0.585
1412088576594439218,0.585
1412088576694385934,0.59
1412088576794412273,0.59
1412088576894581833,0.59
1412088576994865594,0.59
1412088577094673146,0.59
1412088577194960269,0.59
1412088577295121570,0.59
1412088577394754370,0.59
1412088577494894032,0.59
1412088577594489542,0.59
1412088577695536217,0.595
1412088577795921598,0.595
1412088577894312041,0.595
1412088577994457470,0.595
1412088578094487743,0.595
1412088578194644869,0.595
1412088578294859711,0.595
1412088578394551869,0.595
1412088578494948966,0.595
1412088578594548475,0.595
1412088578694464709,0.6
1412088578794664658,0.6
1412088578894467028,0.6
1412088578995058729,0.6
1412088579095138607,0.6
1412088579194772457,0.6
1412088579294762457,0.6
1412088579394571571,0.6
1412088579494269562,0.6
1412088579594985044,0.6
1412088579695011465,0.605
1412088579794946961,0.605
1412088579894548504,0.605
1412088579995224300,0.605
1412088580094893909,0.605
1412088580194912502,0.605
1412088580294870282,0.605
1412088580394548169,0.605
1412088580494610600,0.605
1412088580594604053,0.605
1412088580695096845,0.61
1412088580794681480,0.61
1412088580894849116,0.61
1412088580995903569,0.61
1412088581095098891,0.61
1412088581195080707,0.61
1412088581295100154,0.61
1412088581394711526,0.61
1412088581495386803,0.61
1412088581594542921,0.61
1412088581695842834,0.615
1412088581795003589,0.615
1412088581895168821,0.615
1412088581995479731,0.615
1412088582094599709,0.615
1412088582194849251,0.615
1412088582294965580,0.615
1412088582394957070,0.615
1412088582495092294,0.615
1412088582595726444,0.615
1412088582695112318,0.62
1412088582795140681,0.62
1412088582894555058,0.62
1412088582994778981,0.62
1412088583094928917,0.62
1412088583194548788,0.62
1412088583294749203,0.62
1412088583395271733,0.62
1412088583495047979,0.62
1412088583594432576,0.62
1412088583695794853,0.625
1412088583795071971,0.625
1412088583894765217,0.625
1412088583994865146,0.625
1412088584094975370,0.625
1412088584194696924,0.625
1412088584294851508,0.625
1412088584394867261,0.625
1412088584495788608,0.625
1412088584595064034,0.625
1412088584695636469,0.63
1412088584795064196,0.63
1412088584894634192,0.63
1412088584995657928,0.63
1412088585095048780,0.63
1412088585195398243,0.63
1412088585295454482,0.63
1412088585394325080,0.63
1412088585495471257,0.63
1412088585594469680,0.63
1412088585694867093,0.635
1412088585795006484,0.635
1412088585895394722,0.635
1412088585995265056,0.635
1412088586095002985,0.635
1412088586194513076,0.635
1412088586295634361,0.635
1412088586395635486,0.635
1412088586494944007,0.635
1412088586594434645,0.635
1412088586696242437,0.64
1412088586794887599,0.64
1412088586894442165,0.64
1412088586994622453,0.64
1412088587095430253,0.64
1412088587194438471,0.64
1412088587294607733,0.64
1412088587395749297,0.64
1412088587494437815,0.64
1412088587595014039,0.64
1412088587695928565,0.645
1412088587795561379,0.645
1412088587894917397,0.645
1412088587995084033,0.645
1412088588094182525,0.645
1412088588194183617,0.645
1412088588295562976,0.645
1412088588394316639,0.645
1412088588494409670,0.645
1412088588594833243,0.645
1412088588695513835,0.65
1412088588794576094,0.65
1412088588894713871,0.65
1412088588995279625,0.65
1412088589094069921,0.65
1412088589194921975,0.65
1412088589294952947,0.65
1412088589394660561,0.65
1412088589496115808,0.65
1412088589594477085,0.65
1412088589694894417,0.655
1412088589795879567,0.655
1412088589894627512,0.655
1412088589994663313,0.655
1412088590094869347,0.655
1412088590194952315,0.655
1412088590294136752,0.655
1412088590394244233,0.655
1412088590494543433,0.655
1412088590594417614,0.655
1412088590695483988,0.66
1412088590794734024,0.66
1412088590894396663,0.66
1412088590994905494,0.66
1412088591094992948,0.66
1412088591195186574,0.66
1412088591296102266,0.66
1412088591394750855,0.66
1412088591494809640,0.66
1412088591594176494,0.66
1412088591694350561,0.665
1412088591794597167,0.665
1412088591894421073,0.665
1412088591994370842,0.665
1412088592094204243,0.665
1412088592194306360,0.665
1412088592294402231,0.665
1412088592394445273,0.665
1412088592495836424,0.665
1412088592595828329,0.665
1412088592694460088,0.67
1412088592794433600,0.67
1412088592894114580,0.67
1412088592995271216,0.67
1412088593094015167,0.67
1412088593194193345,0.67
1412088593294565083,0.67
1412088593394306608,0.67
1412088593494250908,0.67
1412088593594550534,0.67
1412088593694596473,0.675
1412088593794317691,0.675
1412088593894551602,0.675
1412088593994455003,0.675
1412088594094365212,0.675
